index,title_year,top200,year,first_year,decade,Category,Era,APP_Era,APP_Era_exp,Existential Threat,Existential Threat_exp,APP_World After,APP_World After_exp,Dystopian/Post-Apoc,Dystopian/Post-Apoc_exp,Inequality,Inequality_exp,Suffering,Suffering_exp,A militarized society,A militarized society_exp,unknown,unknown_exp,society,society_exp,human,human_exp,self,self_exp,Social Issues,Social Issues_exp
6,Fantastic Planet (1973),1,1973,1973,1970,animated/kids/comedy,future,future,The film is set in a futuristic world with advanced alien civilizations.,1,"There is an existential threat to humanity from the Draags, who could potentially eradicate them.",1,The characters make the world better by achieving freedom from the Draags.,1,The setting can be considered dystopian due to the controlling and oppressive nature of the Draag society over humans.,1,"There is notable inequality, with humans (Oms) being treated as pets or pests by the Draags.",1,There is significant human suffering due to the oppressive conditions imposed by the Draags.,0,The society does not appear to be militarized at the beginning of the story.,1,"The story involves a human vs. the unknown conflict, as humans struggle against the alien Draags.",1,"The story involves human vs. society conflict, as humans revolt against the social structure imposed by the Draags.",1,"The story involves a human vs. the unknown conflict, as humans struggle against the alien Draags.",0,The story does not prominently feature a human vs. self conflict.,1,"The story is a commentary on social issues such as oppression, authoritarianism, and resistance."
8,The Day Mars Invaded Earth (1962),1,1962,1962,1960,other,present,present,The film takes place in what was the present time during its release in 1962.,1,"Yes, there is an existential threat to humanity posed by the Martians.",0,"The characters do not make the world better, it remains threatened by the Martians.",0,"No, the story is not set in a dystopian or post-apocalyptic world at the beginning.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story does not have a militarized society.,1,"Yes, the story involves a human vs. the unknown conflict with the Martians.",0,"No, the story does not involve a human vs. society conflict.",1,"Yes, the story involves a human vs. the unknown conflict with the Martians.",0,"No, the story does not involve a human vs. self conflict.",0.5,"Somewhat, the story can be seen as a commentary on the fear of the unknown and external threats during the Cold War era."
9,Turist Ömer Uzay Yolunda (1973),1,1973,1973,1970,animated/kids/comedy,future,future,"The film is set in the future, as it parodies futuristic science fiction themes.",0,There is no existential threat to humanity; it is more about comedic adventures.,0.5,"The characters make the world somewhat better, by resolving hectic situations humorously.",0,"The story is not set in a dystopian or post-apocalyptic world, focusing on surreal, humorous adventures.",0,"The setting does not have a notable amount of inequality, focusing more on humor.",0,"The setting does not have a notable amount of human suffering, as the focus is on comedic elements.",0,The setting is not particularly militarized; it revolves around humorous sci-fi adventures.,1,"The story involves human vs. the unknown conflicts, fitting the sci-fi adventure theme.",0,The story does not significantly involve human vs. society conflict.,1,"The story involves human vs. the unknown conflicts, fitting the sci-fi adventure theme.",0,The story does not notably involve human vs. self conflict.,0.5,"The story somewhat comments on social issues humorously, through parody."
10,The Incredible Petrified World (1959),1,1959,1959,1950,other,present,present,"The film takes place in the present, based on the contemporary setting at the time of its release.",0,There is no existential threat to humanity; the threat is localized to the immediate situation of the divers.,0.5,"The characters survive and escape, but little is indicated about the long-term impact on the world.",0,The setting is not dystopian or post-apocalyptic; it is a contemporary world with unusual circumstances.,0,There is no notable inequality presented at the beginning of the story.,0,There is no significant indication of human suffering in the initial setting.,0,The society is not notably militarized at the story's beginning.,1,The story involves a conflict between humans and the unknown underwater environment.,0,The story does not involve a conflict between humans and society.,1,The story involves a conflict between humans and the unknown underwater environment.,0.5,"There is some internal struggle as the characters cope with survival, but it's not the primary focus.",0.5,"There are minor allusions to human curiosity and exploration, but it's not a direct commentary on contemporary social issues."
11,The Lost Missile (1958),1,1958,1958,1950,other,present,present,"The film takes place in the present day, relative to its 1958 release.",1,The runaway missile poses an existential threat to humanity.,1,"The characters work to avert the missile crisis, thereby making the world better than it was during the crisis.",0,The world depicted is not dystopian or post-apocalyptic but faces an immediate crisis.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering before the missile arrives.,0.5,"There is some militarization due to the Cold War context, but it is not the primary focus.",1,The story centers around a conflict between humans and the unknown threat of the missile.,0,The story does not primarily involve a conflict between individuals and society.,1,The story centers around a conflict between humans and the unknown threat of the missile.,0,The story does not involve a significant internal conflict within a character.,0.5,"While primarily a thriller, the film may reflect Cold War anxieties of the time, hence somewhat commenting on social issues."
12,The Wild World of Batwoman (1966),1,1966,1966,1960,other,present,present,"The film is set in the contemporary time of its release, which would be the present era of the 1960s.",0,There is no existential threat to humanity depicted in the storyline; the threats are more light-hearted and personal.,1,"The characters in the film manage to resolve the main issues, thereby making the world better than before the story.",0,The story is not set in a dystopian or post-apocalyptic world.,0,"The film does not focus on inequality as a major theme, and it is not notably present in the setting.",0,The setting at the beginning of the story does not depict a notable amount of human suffering; it's more of a comedic and exaggerated environment.,0,The society in the film is not depicted as particularly militarized.,1,The story involves conflicts that can be categorized as human vs. the unknown due to the bizarre and unpredictable nature of the threats faced by the protagonists.,0,The story does not involve significant conflict between individuals and society.,1,The story involves conflicts that can be categorized as human vs. the unknown due to the bizarre and unpredictable nature of the threats faced by the protagonists.,0,The story does not focus on internal struggles or human vs. self conflict.,0,"The film is not a commentary on social issues of its time; it is more of a campy, fantastical narrative."
13,The Woman Eater (1958),1,1958,1958,1950,other,present,present,The film takes place in the present era (1950s).,0,There is no existential threat to humanity in the story; it is more localized to the characters involved.,0,The characters do not make any notable changes to the state of the world by the end of the story.,0,"No, the story is not set in a dystopian or post-apocalyptic world.",0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story does not have a militarized society.,1,"Yes, the story involves a human vs. the unknown conflict with the carnivorous plant.",0,"No, the story does not involve a human vs. society conflict.",1,"Yes, the story involves a human vs. the unknown conflict with the carnivorous plant.",0,"No, the story does not involve a human vs. self conflict.",0,"No, the story is not a commentary on social issues of today."
14,We're Back! A Dinosaur's Story (1993),1,1993,1993,1990,animated/kids/comedy,present,present,"The film mostly takes place in the present day, with the dinosaurs arriving in modern-day New York City.",0,There is no existential threat to humanity presented in the film.,1,"The protagonists, especially the dinosaurs, positively impact the world by making kids happy and fighting against the antagonist, Professor Screweyes.",0,The story is set in a typical modern-day city which is not dystopian or post-apocalyptic.,0,There isn't a notable amount of inequality portrayed at the beginning of the story.,0,The film does not highlight human suffering significantly at the beginning.,0,The setting at the beginning of the story does not have a militarized society.,0,"The conflict is more about fitting in and dealing with Professor Screweyes, not an unknown entity.",0,The story does not largely involve a human vs. society conflict.,0,"The conflict is more about fitting in and dealing with Professor Screweyes, not an unknown entity.",0.5,"There are elements of human vs. self conflict, particularly with characters like Louie and Cecilia struggling with personal issues.",0.5,"The story has some light undertones of social commentary, particularly about family and belonging."
15,Vinyl (1965),1,1965,1965,1960,other,present,present,The film Vinyl is set in the present era.,0,There is no existential threat to humanity in the story of Vinyl.,0,"The characters do not make the world better, the same, or worse than the state of the world before the story.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story does not have a militarized society.,0,The story does not involve a human vs. the unknown conflict.,1,The story involves a human vs. society conflict.,0,The story does not involve a human vs. the unknown conflict.,0.5,The story somewhat involves a human vs. self conflict.,1,The story is a commentary on social issues of its time.
16,Dragon Ball Z: Broly - The Legendary Super Saiyan (1993),1,1993,1993,1990,animated/kids/comedy,multiple/other,multiple/other,"The Dragon Ball universe incorporates elements from the future, present, and multiple other settings.",1,Broly represents an existential threat to the characters and potentially to humanity if not stopped.,1,"By defeating Broly, the characters prevent further destruction, making the world safer than it was during Broly’s rampage.",0,The setting is not dystopian or post-apocalyptic but rather a world with fantastical elements.,0,The initial setting does not emphasize inequality among humans.,0,There is no notable emphasis on human suffering at the beginning of the story.,0,The society at the beginning is not markedly militarized.,0,The conflict is not characterized as human vs. the unknown; it's more human vs. a powerful individual (Broly).,0,The story does not involve a conflict with society.,0,The conflict is not characterized as human vs. the unknown; it's more human vs. a powerful individual (Broly).,0,There is no notable human vs. self conflict in the story.,0,The story is not a commentary on social issues of today; it's focused on the battle against Broly.
